AD	329	330
AE	1577	1582
AL	1051	1054
AR	7169	7170
AS	132	132
AT	2436	2438
AU	8369	8383
AX	264	264
BA	1813	1819
BD	2116	2117
BE	1713	1713
BG	2368	2372
BM	104	132
BO	2899	2900
BR	9761	9790
BT	1048	1054
BW	1489	1489
BY	15	21
CA	9214	9226
CC	66	66
CH	1840	1845
CL	4736	4745
CO	4998	5009
CR	1001	1002
CW	330	330
CX	66	66
CY	366	369
CZ	2372	2372
DE	2807	2807
DK	2370	2372
DO	525	527
EC	3163	3163
EE	1580	1582
EG	13	13
ES	5799	5802
FI	3121	3163
FO	458	461
FR	5796	5799
GB	4477	4481
GH	3196	3200
GI	79	79
GL	395	395
GR	3163	3163
GT	2371	2372
GU	132	132
HK	593	593
HR	1978	1977
HU	2372	2372
ID	7813	7819
IE	2371	2372
IL	1449	1450
IM	264	264
IN	4727	4729
IS	1580	1582
IT	4754	4758
JE	132	132
JO	1593	1595
JP	6906	6907
KE	4341	4347
KG	1581	1582
KH	3149	3163
KR	2371	2372
KZ	1973	1977
LA	394	395
LB	35	34
LI	277	277
LK	2369	2372
LS	659	659
LT	1582	1582
LU	592	593
LV	1579	1582
MC	105	105
ME	867	870
MG	40	40
MK	669	667
ML	8	8
MN	660	659
MO	158	158
MP	132	132
MQ	5	5
MT	592	593
MX	7641	7645
MY	4998	5009
NA	2621	2636
NG	2477	2478
NL	2109	2109
NO	4213	4218
NP	1574	1582
NZ	3415	3427
OM	2360	2372
PA	991	999
PE	4480	4481
PH	5469	5470
PK	40	40
PL	3957	3954
PN	16	16
PR	391	395
PS	621	622
PT	2109	2109
PY	3149	3163
QA	920	923
RE	330	330
RO	3721	3730
RS	1583	1582
RU	11360	11362
RW	582	583
SE	4742	4745
SG	453	461
SI	1182	1186
SK	1581	1582
SM	330	330
SN	2806	2810
ST	31	32
SZ	923	923
TH	6049	6063
TN	1318	1318
TR	5174	5183
TW	2367	2372
UA	3426	3427
UG	528	527
UM	40	40
US	13241	13278
UY	2370	2372
VI	395	395
VN	4478	4481
ZA	7212	7215
